
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: isaid                   
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 2                       
|                nshot: 5                       
|             img_size: 1024                    
| use_original_imgsize: False                   
|             log_root: output/isaid_5shot/fold2
|            visualize: 0                       
|          dinov2_size: vit_large               
|             sam_size: vit_h                   
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|     use_semantic_sam: False                   
| semantic_sam_weights: models/swint_only_sam_many2many.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.0                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.0                     
|       box_nms_thresh: 1.0                     
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 0                       
|     multimask_output: 0                       
|          num_centers: 8                       
|              use_box: False                   
| use_points_or_centers: False                   
|         sample_range: (4, 6)                  
| max_sample_iterations: 30                      
|                alpha: 0.8                     
|                 beta: 0.2                     
|                  exp: 1.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.0                     
|      coverage_filter: 0.0                     
|     use_score_filter: False                   
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.7                     
|     num_merging_mask: 10                      
:================================================

# available GPUs: 1
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0001/3298] mIoU: 12.02  |  FB-IoU: 76.41 |  0:  0.00    |  1:  0.00    |  2:  0.00    |  3:  0.00    |  4: 60.12   
[Batch: 0002/3298] mIoU: 26.20  |  FB-IoU: 78.60 |  0:  0.00    |  1:  0.00    |  2:  0.00    |  3: 70.86    |  4: 60.12   
[Batch: 0003/3298] mIoU: 23.28  |  FB-IoU: 69.74 |  0:  0.00    |  1:  0.00    |  2:  0.00    |  3: 70.86    |  4: 45.55   
[Batch: 0004/3298] mIoU: 23.66  |  FB-IoU: 69.22 |  0:  0.00    |  1:  0.00    |  2:  0.00    |  3: 70.86    |  4: 47.43   
[Batch: 0005/3298] mIoU: 42.28  |  FB-IoU: 77.06 |  0:  0.00    |  1: 93.13    |  2:  0.00    |  3: 70.86    |  4: 47.43   
[Batch: 0006/3298] mIoU: 40.07  |  FB-IoU: 75.65 |  0:  0.00    |  1: 93.13    |  2:  0.00    |  3: 59.77    |  4: 47.43   
[Batch: 0007/3298] mIoU: 39.74  |  FB-IoU: 73.98 |  0:  0.00    |  1: 93.13    |  2:  0.00    |  3: 59.77    |  4: 45.80   
[Batch: 0008/3298] mIoU: 40.24  |  FB-IoU: 75.18 |  0:  0.00    |  1: 93.13    |  2:  0.00    |  3: 62.30    |  4: 45.80   
[Batch: 0009/3298] mIoU: 39.91  |  FB-IoU: 73.67 |  0:  0.00    |  1: 93.13    |  2:  0.00    |  3: 62.30    |  4: 44.15   
[Batch: 0010/3298] mIoU: 40.03  |  FB-IoU: 74.24 |  0:  0.00    |  1: 93.13    |  2:  0.00    |  3: 62.90    |  4: 44.15   
[Batch: 0011/3298] mIoU: 42.44  |  FB-IoU: 73.32 |  0:  0.00    |  1: 93.13    |  2: 12.04    |  3: 62.90    |  4: 44.15   
[Batch: 0012/3298] mIoU: 42.17  |  FB-IoU: 73.50 |  0:  0.00    |  1: 93.13    |  2: 12.04    |  3: 61.55    |  4: 44.15   
[Batch: 0013/3298] mIoU: 41.26  |  FB-IoU: 71.81 |  0:  0.00    |  1: 93.13    |  2: 12.04    |  3: 61.55    |  4: 39.60   
[Batch: 0014/3298] mIoU: 41.67  |  FB-IoU: 72.48 |  0:  0.00    |  1: 93.13    |  2: 12.04    |  3: 63.57    |  4: 39.60   
[Batch: 0015/3298] mIoU: 54.80  |  FB-IoU: 74.80 |  0:  0.00    |  1: 93.13    |  2: 77.70    |  3: 63.57    |  4: 39.60   
[Batch: 0016/3298] mIoU: 54.06  |  FB-IoU: 72.12 |  0:  0.00    |  1: 93.13    |  2: 77.70    |  3: 63.57    |  4: 35.89   
[Batch: 0017/3298] mIoU: 54.12  |  FB-IoU: 72.43 |  0:  0.00    |  1: 93.13    |  2: 77.70    |  3: 63.89    |  4: 35.89   
[Batch: 0018/3298] mIoU: 54.53  |  FB-IoU: 71.20 |  0:  0.00    |  1: 93.13    |  2: 77.70    |  3: 63.89    |  4: 37.96   
[Batch: 0019/3298] mIoU: 54.99  |  FB-IoU: 71.96 |  0:  0.00    |  1: 93.13    |  2: 77.70    |  3: 66.18    |  4: 37.96   
[Batch: 0020/3298] mIoU: 55.93  |  FB-IoU: 71.22 |  0:  4.67    |  1: 93.13    |  2: 77.70    |  3: 66.18    |  4: 37.96   
[Batch: 0021/3298] mIoU: 55.63  |  FB-IoU: 69.98 |  0:  4.67    |  1: 93.13    |  2: 77.70    |  3: 66.18    |  4: 36.45   
[Batch: 0022/3298] mIoU: 56.45  |  FB-IoU: 71.48 |  0:  4.67    |  1: 93.13    |  2: 81.83    |  3: 66.18    |  4: 36.45   
[Batch: 0023/3298] mIoU: 56.41  |  FB-IoU: 72.00 |  0:  4.67    |  1: 93.13    |  2: 81.62    |  3: 66.18    |  4: 36.45   
[Batch: 0024/3298] mIoU: 57.23  |  FB-IoU: 72.81 |  0:  4.67    |  1: 93.13    |  2: 81.62    |  3: 70.27    |  4: 36.45   
[Batch: 0025/3298] mIoU: 57.93  |  FB-IoU: 73.21 |  0:  8.16    |  1: 93.13    |  2: 81.62    |  3: 70.27    |  4: 36.45   
[Batch: 0026/3298] mIoU: 58.02  |  FB-IoU: 73.37 |  0:  8.16    |  1: 93.13    |  2: 81.62    |  3: 70.27    |  4: 36.91   
[Batch: 0027/3298] mIoU: 58.35  |  FB-IoU: 73.75 |  0:  8.16    |  1: 93.13    |  2: 81.62    |  3: 70.27    |  4: 38.56   
[Batch: 0028/3298] mIoU: 57.05  |  FB-IoU: 73.20 |  0:  8.16    |  1: 93.13    |  2: 75.14    |  3: 70.27    |  4: 38.56   
[Batch: 0029/3298] mIoU: 56.86  |  FB-IoU: 72.00 |  0:  8.16    |  1: 93.13    |  2: 75.14    |  3: 70.27    |  4: 37.59   
[Batch: 0030/3298] mIoU: 56.98  |  FB-IoU: 72.37 |  0:  8.16    |  1: 93.13    |  2: 75.14    |  3: 70.88    |  4: 37.59   
[Batch: 0031/3298] mIoU: 56.98  |  FB-IoU: 72.67 |  0:  8.16    |  1: 93.13    |  2: 75.14    |  3: 70.90    |  4: 37.59   
[Batch: 0032/3298] mIoU: 56.75  |  FB-IoU: 72.77 |  0:  8.16    |  1: 93.13    |  2: 73.95    |  3: 70.90    |  4: 37.59   
[Batch: 0033/3298] mIoU: 56.79  |  FB-IoU: 72.85 |  0:  8.16    |  1: 93.13    |  2: 73.95    |  3: 70.90    |  4: 37.81   
[Batch: 0034/3298] mIoU: 56.01  |  FB-IoU: 70.52 |  0:  8.16    |  1: 93.13    |  2: 73.95    |  3: 70.90    |  4: 33.89   
[Batch: 0035/3298] mIoU: 56.54  |  FB-IoU: 70.44 |  0:  8.16    |  1: 93.13    |  2: 73.95    |  3: 70.90    |  4: 36.56   
[Batch: 0036/3298] mIoU: 56.39  |  FB-IoU: 69.10 |  0:  8.16    |  1: 93.13    |  2: 73.95    |  3: 70.90    |  4: 35.83   
[Batch: 0037/3298] mIoU: 56.43  |  FB-IoU: 68.98 |  0:  8.16    |  1: 93.13    |  2: 73.95    |  3: 70.90    |  4: 36.00   
[Batch: 0038/3298] mIoU: 56.86  |  FB-IoU: 69.64 |  0:  8.16    |  1: 93.13    |  2: 76.09    |  3: 70.90    |  4: 36.00   
[Batch: 0039/3298] mIoU: 56.96  |  FB-IoU: 69.83 |  0:  8.16    |  1: 93.13    |  2: 76.09    |  3: 70.90    |  4: 36.54   
[Batch: 0040/3298] mIoU: 57.06  |  FB-IoU: 69.50 |  0:  8.16    |  1: 93.13    |  2: 76.09    |  3: 70.90    |  4: 37.03   
[Batch: 0041/3298] mIoU: 56.96  |  FB-IoU: 69.69 |  0:  8.16    |  1: 93.13    |  2: 75.56    |  3: 70.90    |  4: 37.03   
[Batch: 0042/3298] mIoU: 56.31  |  FB-IoU: 69.46 |  0:  8.16    |  1: 93.13    |  2: 72.31    |  3: 70.90    |  4: 37.03   
[Batch: 0043/3298] mIoU: 56.32  |  FB-IoU: 69.46 |  0:  8.16    |  1: 93.13    |  2: 72.31    |  3: 70.90    |  4: 37.10   
[Batch: 0044/3298] mIoU: 56.45  |  FB-IoU: 69.78 |  0:  8.16    |  1: 93.13    |  2: 72.31    |  3: 71.55    |  4: 37.10   
[Batch: 0045/3298] mIoU: 57.34  |  FB-IoU: 70.96 |  0:  8.16    |  1: 93.13    |  2: 76.75    |  3: 71.55    |  4: 37.10   
[Batch: 0046/3298] mIoU: 57.46  |  FB-IoU: 71.21 |  0:  8.16    |  1: 93.13    |  2: 76.75    |  3: 71.55    |  4: 37.69   
[Batch: 0047/3298] mIoU: 57.53  |  FB-IoU: 71.41 |  0:  8.16    |  1: 93.13    |  2: 76.75    |  3: 71.55    |  4: 38.04   
[Batch: 0048/3298] mIoU: 57.18  |  FB-IoU: 71.27 |  0:  8.16    |  1: 93.13    |  2: 75.01    |  3: 71.55    |  4: 38.04   
[Batch: 0049/3298] mIoU: 57.23  |  FB-IoU: 71.49 |  0:  8.16    |  1: 93.13    |  2: 75.01    |  3: 71.81    |  4: 38.04   
[Batch: 0050/3298] mIoU: 57.31  |  FB-IoU: 71.60 |  0:  8.16    |  1: 93.13    |  2: 75.01    |  3: 71.81    |  4: 38.46   
[Batch: 0051/3298] mIoU: 57.38  |  FB-IoU: 71.82 |  0:  8.16    |  1: 93.13    |  2: 75.01    |  3: 72.16    |  4: 38.46   
[Batch: 0052/3298] mIoU: 57.45  |  FB-IoU: 71.55 |  0:  8.16    |  1: 93.13    |  2: 75.01    |  3: 72.16    |  4: 38.78   
[Batch: 0053/3298] mIoU: 57.62  |  FB-IoU: 71.83 |  0:  8.16    |  1: 93.13    |  2: 75.01    |  3: 73.04    |  4: 38.78   
[Batch: 0054/3298] mIoU: 57.19  |  FB-IoU: 70.52 |  0:  8.16    |  1: 93.13    |  2: 75.01    |  3: 73.04    |  4: 36.62   
[Batch: 0055/3298] mIoU: 56.61  |  FB-IoU: 68.84 |  0:  8.16    |  1: 93.13    |  2: 75.01    |  3: 73.04    |  4: 33.69   
[Batch: 0056/3298] mIoU: 57.40  |  FB-IoU: 69.49 |  0:  8.16    |  1: 93.13    |  2: 75.01    |  3: 73.04    |  4: 37.65   
[Batch: 0057/3298] mIoU: 57.08  |  FB-IoU: 69.50 |  0:  8.16    |  1: 93.13    |  2: 75.01    |  3: 71.48    |  4: 37.65   
[Batch: 0058/3298] mIoU: 58.41  |  FB-IoU: 69.61 |  0: 14.79    |  1: 93.13    |  2: 75.01    |  3: 71.48    |  4: 37.65   
[Batch: 0059/3298] mIoU: 58.39  |  FB-IoU: 69.58 |  0: 14.79    |  1: 93.13    |  2: 75.01    |  3: 71.48    |  4: 37.54   
[Batch: 0060/3298] mIoU: 58.41  |  FB-IoU: 69.76 |  0: 14.79    |  1: 93.13    |  2: 75.01    |  3: 71.61    |  4: 37.54   
[Batch: 0061/3298] mIoU: 58.39  |  FB-IoU: 69.92 |  0: 14.79    |  1: 93.13    |  2: 75.01    |  3: 71.48    |  4: 37.54   
[Batch: 0062/3298] mIoU: 58.18  |  FB-IoU: 69.94 |  0: 14.79    |  1: 93.13    |  2: 75.01    |  3: 70.46    |  4: 37.54   
[Batch: 0063/3298] mIoU: 58.25  |  FB-IoU: 70.08 |  0: 14.79    |  1: 93.13    |  2: 75.01    |  3: 70.46    |  4: 37.88   
[Batch: 0064/3298] mIoU: 58.25  |  FB-IoU: 70.23 |  0: 14.79    |  1: 93.13    |  2: 75.01    |  3: 70.47    |  4: 37.88   
[Batch: 0065/3298] mIoU: 58.23  |  FB-IoU: 70.22 |  0: 14.79    |  1: 93.13    |  2: 75.01    |  3: 70.47    |  4: 37.77   
[Batch: 0066/3298] mIoU: 58.16  |  FB-IoU: 70.07 |  0: 14.79    |  1: 93.13    |  2: 75.01    |  3: 70.47    |  4: 37.39   
[Batch: 0067/3298] mIoU: 57.95  |  FB-IoU: 70.07 |  0: 14.79    |  1: 93.13    |  2: 75.01    |  3: 69.44    |  4: 37.39   
[Batch: 0068/3298] mIoU: 57.49  |  FB-IoU: 69.87 |  0: 14.79    |  1: 93.13    |  2: 75.01    |  3: 67.15    |  4: 37.39   
[Batch: 0069/3298] mIoU: 57.82  |  FB-IoU: 70.42 |  0: 14.79    |  1: 93.13    |  2: 76.65    |  3: 67.15    |  4: 37.39   
[Batch: 0070/3298] mIoU: 58.00  |  FB-IoU: 70.66 |  0: 14.79    |  1: 93.13    |  2: 76.65    |  3: 68.06    |  4: 37.39   
[Batch: 0071/3298] mIoU: 58.07  |  FB-IoU: 70.81 |  0: 14.79    |  1: 93.13    |  2: 76.65    |  3: 68.40    |  4: 37.39   
[Batch: 0072/3298] mIoU: 58.11  |  FB-IoU: 70.82 |  0: 14.79    |  1: 93.13    |  2: 76.65    |  3: 68.40    |  4: 37.60   
[Batch: 0073/3298] mIoU: 58.19  |  FB-IoU: 70.79 |  0: 14.79    |  1: 93.13    |  2: 76.65    |  3: 68.40    |  4: 37.97   
[Batch: 0074/3298] mIoU: 58.17  |  FB-IoU: 70.87 |  0: 14.79    |  1: 93.13    |  2: 76.65    |  3: 68.33    |  4: 37.97   
[Batch: 0075/3298] mIoU: 57.57  |  FB-IoU: 70.47 |  0: 14.79    |  1: 93.13    |  2: 73.64    |  3: 68.33    |  4: 37.97   
[Batch: 0076/3298] mIoU: 57.65  |  FB-IoU: 70.24 |  0: 14.79    |  1: 93.13    |  2: 73.64    |  3: 68.33    |  4: 38.38   
[Batch: 0077/3298] mIoU: 57.49  |  FB-IoU: 70.23 |  0: 14.79    |  1: 93.13    |  2: 72.85    |  3: 68.33    |  4: 38.38   
[Batch: 0078/3298] mIoU: 57.50  |  FB-IoU: 70.20 |  0: 14.79    |  1: 93.13    |  2: 72.85    |  3: 68.33    |  4: 38.42   
[Batch: 0079/3298] mIoU: 57.57  |  FB-IoU: 70.25 |  0: 14.79    |  1: 93.13    |  2: 72.85    |  3: 68.33    |  4: 38.75   
[Batch: 0080/3298] mIoU: 58.07  |  FB-IoU: 70.90 |  0: 14.79    |  1: 93.13    |  2: 75.36    |  3: 68.33    |  4: 38.75   
[Batch: 0081/3298] mIoU: 58.32  |  FB-IoU: 71.32 |  0: 14.79    |  1: 93.13    |  2: 76.62    |  3: 68.33    |  4: 38.75   
[Batch: 0082/3298] mIoU: 58.41  |  FB-IoU: 71.47 |  0: 14.79    |  1: 93.13    |  2: 76.62    |  3: 68.77    |  4: 38.75   
[Batch: 0083/3298] mIoU: 58.59  |  FB-IoU: 71.83 |  0: 14.79    |  1: 93.13    |  2: 77.50    |  3: 68.77    |  4: 38.75   
[Batch: 0084/3298] mIoU: 58.71  |  FB-IoU: 71.98 |  0: 14.79    |  1: 93.13    |  2: 77.50    |  3: 68.77    |  4: 39.38   
[Batch: 0085/3298] mIoU: 58.76  |  FB-IoU: 71.64 |  0: 14.79    |  1: 93.13    |  2: 77.50    |  3: 68.77    |  4: 39.63   
[Batch: 0086/3298] mIoU: 58.80  |  FB-IoU: 71.75 |  0: 14.79    |  1: 93.13    |  2: 77.50    |  3: 68.94    |  4: 39.63   
[Batch: 0087/3298] mIoU: 58.81  |  FB-IoU: 71.85 |  0: 14.79    |  1: 93.13    |  2: 77.50    |  3: 68.99    |  4: 39.63   
