
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: pascal                  
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 3                       
|                nshot: 1                       
|             img_size: 1024                    
| use_original_imgsize: False                   
|             log_root: output/pascal/fold3     
|            visualize: 0                       
|          dinov2_size: vit_large               
|             sam_size: vit_h                   
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|     use_semantic_sam: False                   
| semantic_sam_weights: models/swint_only_sam_many2many.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.0                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.0                     
|       box_nms_thresh: 1.0                     
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 0                       
|     multimask_output: 0                       
|          num_centers: 8                       
|              use_box: False                   
| use_points_or_centers: False                   
|         sample_range: (4, 6)                  
| max_sample_iterations: 30                      
|                alpha: 1.0                     
|                 beta: 0.0                     
|                  exp: 0.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.0                     
|      coverage_filter: 0.0                     
|     use_score_filter: False                   
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.7                     
|     num_merging_mask: 10                      
|                 seed: 0                       
:================================================

# available GPUs: 1
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0001/1000] mIoU: 19.49  |  FB-IoU: 96.92 |  0:  0.00    |  1:  0.00    |  2:  0.00    |  3: 97.45    |  4:  0.00   
[Batch: 0002/1000] mIoU: 19.30  |  FB-IoU: 96.57 |  0:  0.00    |  1:  0.00    |  2:  0.00    |  3: 96.50    |  4:  0.00   
[Batch: 0003/1000] mIoU: 35.49  |  FB-IoU: 93.56 |  0:  0.00    |  1: 80.93    |  2:  0.00    |  3: 96.50    |  4:  0.00   
[Batch: 0004/1000] mIoU: 51.48  |  FB-IoU: 92.12 |  0:  0.00    |  1: 80.93    |  2:  0.00    |  3: 96.50    |  4: 79.95   
[Batch: 0005/1000] mIoU: 65.70  |  FB-IoU: 90.60 |  0:  0.00    |  1: 80.93    |  2: 71.10    |  3: 96.50    |  4: 79.95   
[Batch: 0006/1000] mIoU: 58.65  |  FB-IoU: 82.78 |  0:  0.00    |  1: 80.93    |  2: 71.10    |  3: 96.50    |  4: 44.70   
[Batch: 0007/1000] mIoU: 54.82  |  FB-IoU: 77.54 |  0:  0.00    |  1: 80.93    |  2: 71.10    |  3: 77.38    |  4: 44.70   
[Batch: 0008/1000] mIoU: 55.10  |  FB-IoU: 78.94 |  0:  0.00    |  1: 80.93    |  2: 71.10    |  3: 78.77    |  4: 44.70   
[Batch: 0009/1000] mIoU: 55.99  |  FB-IoU: 80.01 |  0:  0.00    |  1: 80.93    |  2: 75.54    |  3: 78.77    |  4: 44.70   
[Batch: 0010/1000] mIoU: 57.59  |  FB-IoU: 81.70 |  0:  0.00    |  1: 88.96    |  2: 75.54    |  3: 78.77    |  4: 44.70   
[Batch: 0011/1000] mIoU: 58.53  |  FB-IoU: 82.55 |  0:  0.00    |  1: 88.96    |  2: 80.24    |  3: 78.77    |  4: 44.70   
[Batch: 0012/1000] mIoU: 59.23  |  FB-IoU: 83.90 |  0:  0.00    |  1: 92.42    |  2: 80.24    |  3: 78.77    |  4: 44.70   
[Batch: 0013/1000] mIoU: 60.04  |  FB-IoU: 84.64 |  0:  0.00    |  1: 92.42    |  2: 84.29    |  3: 78.77    |  4: 44.70   
[Batch: 0014/1000] mIoU: 59.77  |  FB-IoU: 84.32 |  0:  0.00    |  1: 92.42    |  2: 84.29    |  3: 78.77    |  4: 43.35   
[Batch: 0015/1000] mIoU: 61.56  |  FB-IoU: 83.18 |  0:  8.99    |  1: 92.42    |  2: 84.29    |  3: 78.77    |  4: 43.35   
[Batch: 0016/1000] mIoU: 63.11  |  FB-IoU: 82.96 |  0: 16.71    |  1: 92.42    |  2: 84.29    |  3: 78.77    |  4: 43.35   
[Batch: 0017/1000] mIoU: 63.59  |  FB-IoU: 83.30 |  0: 16.71    |  1: 92.42    |  2: 84.29    |  3: 78.77    |  4: 45.78   
[Batch: 0018/1000] mIoU: 64.04  |  FB-IoU: 83.83 |  0: 16.71    |  1: 92.42    |  2: 86.50    |  3: 78.77    |  4: 45.78   
[Batch: 0019/1000] mIoU: 64.65  |  FB-IoU: 84.65 |  0: 16.71    |  1: 92.42    |  2: 89.58    |  3: 78.77    |  4: 45.78   
[Batch: 0020/1000] mIoU: 64.81  |  FB-IoU: 85.12 |  0: 16.71    |  1: 92.42    |  2: 90.38    |  3: 78.77    |  4: 45.78   
[Batch: 0021/1000] mIoU: 64.86  |  FB-IoU: 85.38 |  0: 16.71    |  1: 92.68    |  2: 90.38    |  3: 78.77    |  4: 45.78   
[Batch: 0022/1000] mIoU: 66.04  |  FB-IoU: 85.44 |  0: 16.71    |  1: 92.68    |  2: 90.38    |  3: 78.77    |  4: 51.67   
[Batch: 0023/1000] mIoU: 65.40  |  FB-IoU: 84.83 |  0: 16.71    |  1: 92.68    |  2: 90.38    |  3: 78.77    |  4: 48.47   
[Batch: 0024/1000] mIoU: 65.36  |  FB-IoU: 84.99 |  0: 16.71    |  1: 92.45    |  2: 90.38    |  3: 78.77    |  4: 48.47   
[Batch: 0025/1000] mIoU: 65.33  |  FB-IoU: 85.52 |  0: 16.71    |  1: 92.45    |  2: 90.27    |  3: 78.77    |  4: 48.47   
[Batch: 0026/1000] mIoU: 65.41  |  FB-IoU: 85.64 |  0: 16.71    |  1: 92.45    |  2: 90.27    |  3: 78.77    |  4: 48.86   
[Batch: 0027/1000] mIoU: 65.60  |  FB-IoU: 85.78 |  0: 16.71    |  1: 92.45    |  2: 90.27    |  3: 78.77    |  4: 49.78   
